ProfessorNom,ProfessorQuantitatGraus,ProfessorQuantitatAssignatures,AssignaturaProfessorPes,gei,gemcd,gext,gesa,gei_gemcd,gei_gext,gei_gesa,gemcd_gext,gemcd_gesa,gesa_gext,gei_gemcd_gext,gei_gemcd_gesa,gei_gesa_gext,gemcd_gesa_gext,gei_gemcd_gesa_gext
Abdussalam Alajami,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Abolfazl Mohammadi Seif,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1
Adriano Pastore,4,3,3,1,2,3,2,2,3,2,3,3,3,3,3,3,3,3
Adrián Garcia Riber,1,1,2,0,0,0,2,0,0,2,0,2,2,0,2,2,2,2
Ahana Deb,4,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2
Alan Tapscott Baltar,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1
Albert Domingo Vilar,3,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Albert Hernansanz Prats,2,1,3,3,3,0,0,3,3,3,3,3,0,3,3,3,3,3
Alejandro Castel de la Torre,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Alejandro Oller Artigas,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alejandro Rodriguez Corrales,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Alexandre Dominguez Clarimon,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Alfonso Martínez Vicente,4,3,8,3,3,8,8,3,8,8,8,8,8,8,8,8,8,8
Alvaro Jose Bocanegra Perez,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anders Jonsson,4,2,6,6,3,3,3,6,6,6,3,3,3,6,6,6,3,6
Andrea Pizzo,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andreas Kaltenbrunner,1,1,2,0,2,0,0,2,0,0,2,2,0,2,2,0,2,2
Andy Luis Olivares Miyares,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Antoine Jeanjacques Nathan Moulin,4,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2
Antonia Micol Frassino,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Antonio Lobo Santos,1,1,3,0,3,0,0,3,0,0,3,3,0,3,3,0,3,3
Antonio Lunar Mauri,1,1,3,3,0,0,0,3,3,3,0,0,0,3,3,3,0,3
Aravindh Raman,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ariel Orlando Ortiz Beltran,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Arnau Blanco Borrego,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arnau Colom Pasqual de Riquelme,3,2,2,1,1,0,2,1,1,2,1,2,2,1,2,2,2,2
Aureliano Santiago Perez Garzon,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aurelio Ruiz Garcia,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ayose Iturralde Valencia,4,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2
Bart Bijnens,1,1,4,0,0,0,4,0,0,4,0,4,4,0,4,4,4,4
Behzad Haki,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Berta Benet Cugat,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Blazej Tadeusz Kotowski,1,2,2,0,0,0,2,0,0,2,0,2,2,0,2,2,2,2
Boris Bellalta Jiménez,3,3,9,0,1,9,1,1,9,1,9,1,9,9,1,9,9,9
Carla Ràfols Salvador,4,2,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5
Carles Soler Puig,3,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Carlos Bock Montero,1,1,2,0,0,2,0,0,2,0,2,0,2,2,0,2,2,2
Carlos Castillo,1,2,6,0,6,0,0,6,0,0,6,6,0,6,6,0,6,6
Carlos Eduardo Ruiz Wills,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Carlos Gasch Malaret,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Carlos Giraldos Blas,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Carlos Pacha Vicente,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chema Martínez Revellado,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chiara Mastrogiuseppe,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Coloma Maria Ballester Nicolau,3,2,5,0,2,2,3,2,2,3,2,5,5,2,5,5,5,5
Costas Michaelides,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Cristian Daniel Gonzalez,4,3,3,3,2,2,2,3,3,3,2,2,2,3,3,3,2,3
Cristina Cano Bastidas,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Esono Ferrer,3,2,3,0,1,3,1,1,3,1,3,1,3,3,1,3,3,3
Daniel Gómez Marín,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Naro,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Santos Olivan,2,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
David Llanos Santos,4,2,3,1,1,3,1,1,3,1,3,1,3,3,1,3,3,3
David Núñez Cuadrado,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Davinia Hernández Leo,4,2,4,2,2,4,2,2,4,2,4,2,4,4,2,4,4,4
Diego de Estrada Rustan,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Dolors Sala Batlle,2,3,9,5,0,4,0,5,9,5,4,0,4,9,5,9,4,9
